TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2034.4,4397.5,2172.4,3520.0,2292.0,6,3,1445.9,436.52,1,1151.9,1066.3,1,1,1.0
18281.0,1417.0,2079.4,856.0,3804.0,3,7,1587.2,365.76,1,224.43,1269.8,1,1,1.0
30447.0,4857.8,1074.9,3584.0,868.0,6,3,1665.8,377.55,1,1205.2,304.71,1,1,1.0
44820.0,3978.9,4450.8,4224.0,2448.0,3,3,1630.9,521.1,1,1911.5,1040.6,2,0,1.0
63752.0,18630.0,8562.7,7730.8,2512.0,11,4,1474.4,425.54,2,2275.8,1474.2,2,0,7.0
104850.0,1283.0,8289.3,1512.0,7000.0,4,9,841.35,723.55,2,307.38,1747.1,1,1,3.0
127190.0,7165.9,1564.9,4664.0,1172.0,8,3,1542.3,464.28,1,1287.3,401.24,1,1,1.0
145970.0,3095.5,4755.6,1824.0,5584.0,5,9,810.92,344.07,4,451.15,1836.1,1,1,3.0
164900.0,5712.5,3943.3,4072.0,5388.0,4,4,1559.2,476.85,2,1624.4,2670.2,2,0,3.0
188290.0,1728.4,2941.6,1520.0,3004.0,2,5,1697.0,306.33,1,299.81,983.13,1,1,1.0
201470.0,29775.0,2492.3,8472.0,5452.0,9,6,2477.8,495.4,2,2886.0,1368.6,1,1,10.0
252280.0,18603.0,4703.7,3616.0,8251.8,3,9,1677.3,770.1,1,1558.2,2068.4,2,0,14.0
291550.0,6434.9,3135.8,3104.0,2236.0,4,3,2009.1,419.45,1,1325.2,950.89,1,1,1.0
310510.0,25400.0,6341.1,2191.9,6656.0,3,14,942.67,277.48,4,732.75,1879.1,1,1,7.0
355410.0,15548.0,3579.5,4512.0,2416.0,5,2,1914.5,772.5,1,1110.7,1448.2,1,1,1.0
385350.0,1852.7,13289.0,792.0,4204.0,3,7,2191.9,335.22,1,268.09,1443.8,1,1,1.0
409170.0,3608.8,2925.7,5920.0,2596.0,10,6,782.15,451.08,4,1895.4,847.81,1,1,3.0
428760.0,2125.7,17374.0,1056.0,6508.0,4,15,1525.1,291.61,1,324.34,1848.7,1,1,14.0
459880.0,16297.0,3768.4,6208.0,864.0,7,3,2192.2,655.96,1,2077.5,344.66,1,1,1.0
491220.0,2631.5,2831.5,696.0,4944.0,3,12,1556.5,297.55,1,228.29,1491.6,1,1,14.0
506850.0,6919.3,2326.1,3648.0,964.0,5,2,1845.2,502.27,1,1058.5,376.18,1,1,1.0
524850.0,1501.0,5187.0,608.0,3428.0,2,5,1864.5,327.83,1,181.02,1096.9,1,1,1.0
539230.0,5516.6,3115.0,3888.0,1548.0,4,3,2263.2,628.4,1,1525.4,620.38,1,1,1.0
557280.0,4109.6,3971.2,1136.0,4144.0,3,11,892.05,261.81,2,332.2,1425.2,1,1,7.0
574540.0,3041.0,4132.5,3384.0,476.0,4,2,1817.9,655.05,1,1070.6,214.96,1,1,1.0
589840.0,4064.4,7793.0,2928.0,7840.0,6,10,1878.2,712.73,1,945.26,2082.1,1,1,7.0
616980.0,10423.0,1278.8,5592.0,1700.0,8,6,1452.1,644.65,1,1430.0,558.38,1,1,13.0
640010.0,1457.2,4814.9,1880.0,5844.0,6,9,1580.9,509.01,1,580.93,1711.8,1,1,13.0
658210.0,7703.3,1515.7,4872.0,1332.0,6,3,1492.9,758.77,1,1467.3,468.14,1,1,13.0
677410.0,13058.0,5975.4,536.0,4931.8,1,6,2492.8,393.8,1,,1462.2,2,0,1.0
705900.0,7606.0,4535.5,6920.0,2896.0,6,6,1816.4,1069.9,1,1947.8,1053.1,1,1,13.0
732010.0,2521.8,4630.8,1328.0,5232.0,6,7,1678.9,638.62,1,397.39,1712.6,1,1,13.0
749490.0,5648.3,1790.8,3644.0,1896.0,6,3,1006.0,617.5,1,1187.6,840.01,1,1,13.0
766820.0,3363.4,2558.6,3432.0,5004.0,5,7,1610.3,553.14,1,916.25,1600.3,1,1,13.0
784950.0,2678.7,1177.4,4744.0,1424.0,7,4,764.4,755.92,1,1158.0,508.92,1,1,13.0
799500.0,1160.7,5129.5,1328.0,5116.0,5,6,1534.4,775.4,1,355.19,1613.6,1,1,13.0
816010.0,7998.0,1003.2,4376.0,1480.0,7,6,941.1,642.18,1,1182.1,481.55,1,1,13.0
834910.0,7215.1,5874.6,1984.0,4620.0,5,6,1590.5,679.38,1,624.12,1453.1,1,1,13.0
858450.0,7274.6,1293.7,3568.0,1068.0,6,3,674.8,673.3,1,931.19,440.31,1,1,13.0
875910.0,1513.5,2691.9,1600.0,4760.0,5,8,1316.5,515.92,1,526.2,1379.9,1,1,13.0
890340.0,5362.5,2470.8,3408.0,1264.0,7,4,610.3,529.14,1,806.76,622.08,1,1,13.0
906590.0,1034.3,3061.7,2928.0,4804.0,5,6,1309.7,786.58,1,571.16,1338.4,1,1,13.0
922350.0,3558.9,2080.9,3888.0,1556.0,7,5,963.4,551.32,1,1025.4,498.34,1,1,13.0
937610.0,875.8,2729.4,5024.0,5388.0,6,7,1346.5,596.3,1,1579.8,1606.4,1,1,13.0
956210.0,2409.8,1259.7,5136.0,1508.0,9,4,1168.8,442.17,1,1407.6,640.33,1,1,13.0
970310.0,4104.4,5533.5,1680.0,2860.0,2,3,1766.0,706.0,1,752.36,1153.8,1,1,1.0
988340.0,2787.8,3900.7,3504.0,3464.0,4,4,1161.3,1075.3,1,1103.4,1428.1,1,1,13.0
1005800.0,2677.2,8937.3,816.0,3740.0,3,5,2202.0,406.0,1,200.05,1416.8,1,1,1.0
1025900.0,2795.3,2720.8,4464.0,3435.9,7,5,1222.1,627.58,1,1170.9,1283.7,1,1,13.0
1043000.0,2483.1,3828.2,1734.0,3628.0,3,5,2037.8,414.07,1,288.0,1339.3,1,1,1.0
1058900.0,30478.0,3088.6,1648.0,1092.1,5,2,837.2,208.93,1,528.32,636.4,1,1,1.0
1099700.0,3464.6,6952.8,1920.0,5048.0,4,7,1401.1,431.45,2,1093.6,1303.2,1,1,13.0
1120900.0,1407.1,4401.9,3472.0,1664.0,8,4,727.0,431.33,1,963.89,642.26,2,0,13.0
1135500.0,1183.2,10226.0,2752.0,4800.0,6,7,1483.5,575.3,1,707.77,1535.3,1,1,13.0
1158100.0,11121.0,3484.6,6488.0,1652.2,8,4,2677.7,591.05,1,2062.0,939.74,1,1,13.0
1184900.0,727.8,9503.2,2095.0,4232.8,6,5,1551.1,825.63,1,590.96,1597.3,1,1,13.0
1205600.0,805.6,3110.6,5042.0,1570.8,8,5,815.8,677.87,1,1146.6,548.69,1,1,13.0
1220000.0,4463.7,2229.3,616.0,3904.0,3,7,1325.9,477.22,1,200.0,905.13,1,1,1.0
1234900.0,3951.2,3011.1,2944.0,1560.5,5,4,1453.2,427.6,1,1100.3,574.84,2,0,1.0
1250700.0,4448.1,2719.4,1632.0,2524.0,2,5,1515.6,268.13,1,503.46,814.8,1,1,1.0
1266600.0,2758.1,1237.2,3520.0,875.0,6,3,641.2,693.7,1,843.55,328.46,1,1,13.0
1279500.0,1094.3,1609.8,1632.0,4004.0,5,7,1139.0,510.6,1,531.29,1291.8,1,1,13.0
1292000.0,1738.8,2347.0,4768.0,1636.0,7,4,1074.4,687.52,1,1437.2,531.06,1,1,13.0
1306400.0,1040.2,1524.7,1200.0,3612.0,5,6,1221.4,538.65,1,356.04,1234.8,1,1,13.0
1318200.0,3774.1,2684.4,4577.0,1740.0,7,6,1023.0,664.4,1,1306.2,561.35,1,1,13.0
1334800.0,744.9,1740.3,1392.0,5232.0,5,6,1100.2,661.95,1,336.71,1418.9,1,1,13.0
1348400.0,1133.5,1494.2,3184.0,1421.2,6,3,753.1,563.73,1,847.96,544.74,1,1,13.0
1359300.0,1295.9,1799.4,1496.0,3565.8,5,8,904.9,402.15,1,438.67,1067.3,1,1,13.0
1371300.0,955.4,1045.9,3432.0,1044.0,6,3,773.0,620.75,1,1089.8,420.53,1,1,13.0
1381900.0,1187.4,3022.7,360.0,3068.0,2,5,1889.9,316.7,1,113.14,994.65,1,1,1.0
1393900.0,1510.9,2418.7,3728.0,1972.0,6,6,1090.5,623.38,1,1043.7,606.02,1,1,13.0
1407400.0,788.4,3115.7,3000.0,4548.0,6,7,1525.4,528.52,1,700.08,1474.8,1,1,13.0
1422900.0,1550.3,2099.3,3072.0,1064.0,6,3,556.1,596.98,1,952.78,431.48,1,1,13.0
1435100.0,814.6,1995.6,488.0,2960.0,2,5,1867.2,270.93,1,135.76,1001.4,1,1,1.0
1445900.0,607.7,2056.8,3816.0,1752.0,6,6,1092.6,644.85,1,1178.2,812.48,1,1,13.0
1458100.0,663.8,1910.1,1288.0,3859.8,6,7,1193.7,483.66,1,378.19,1235.2,1,1,13.0
1470100.0,4489.1,1425.4,5064.0,1420.0,9,4,868.6,385.63,1,1297.8,482.44,1,1,13.0
1486900.0,2601.9,3105.3,4072.0,2308.0,2,3,1645.3,398.7,1,1968.6,1045.3,1,1,1.0
1502800.0,2132.0,1762.5,3152.0,1236.0,6,4,651.8,589.05,1,779.61,449.21,1,1,13.0
1515500.0,771.7,6655.8,1168.0,2788.0,3,5,1580.0,293.33,1,206.2,1077.0,1,1,1.0
